OBJECTID,ERC_ID,OBJECTID_1,ERC_ID_1,INCIDENT_TYPE,INCIDENT_STATUS,COMMS_COMMENT,ROAD_CLOSURE_TYPE,DECLARED_ROAD_NUMBER,DECLARED_ROAD_NAME,DECLARED_ROAD_DIRECTION,CLOSED_ROAD_NAME,CLOSED_ROAD_SRNS,CLOSED_ROAD_RMA_CLASS,CLOSED_ROAD_LGA,CLOSED_ROAD_VR_REGION,CLOSED_ROAD_SES_REGION,CLOSED_ROAD_TRAM,CLOSED_ROAD_BUS,INCIDENT_DISTANCE,INCIDENT_DIRECTION,INCIDENT_INT_ROAD_NAME,INCIDENT_LOCALITY,INCIDENT_MELWAY,INCIDENT_VCSD,START_INT_ROAD_NAME,START_INT_LOCALITY,END_INT_ROAD_NAME,END_INT_LOCALITY,DT_CREATED,DT_UPDATED,DT_PUBLISH_UNTIL,DT_LAST_LN_UPDATE,POINT_TYPE
2248,ERC023955,15724,ERC023955,Fire,inactive,Wangaratta Road closed between Benalla-Yarrawonga Road and Forest Road due to fires in the area. Drivers are advised to avoid the area. ,Road Closed,,,forward,WANGARATTA ROAD,,MU,"MOIRA, WANGARATTA",NORTH EASTERN,HUME (NORTH EAST),,,0,West,,ALMONDS,,34C5,UNNAMED,BOWEYA NORTH,BOWEYA CREEK ROAD,BOWEYA,18/12/2014 09:10:20,23/12/2014 09:31:33,23/12/2014 09:46:32,23/12/2014 09:31:33,WHOLE
2249,ERC023956,15725,ERC023956,Fire,inactive,,Road Closed,,,forward,WANGARATTA ROAD,,MU,MOIRA,NORTH EASTERN,HUME (NORTH EAST),,,0,West,,LAKE ROWAN,,33H5,BENALLA-YARRAWONGA ROAD,LAKE ROWAN,WILBY ROAD,ALMONDS,18/12/2014 09:13:56,23/12/2014 09:31:21,23/12/2014 09:46:20,23/12/2014 09:31:21,MIDPOINT
2250,ERC023957,15726,ERC023957,Fire,inactive,,Road Closed,,,forward,WANGARATTA ROAD,,MU,MOIRA,NORTH EASTERN,HUME (NORTH EAST),,,0,West,,ALMONDS,,34B5,WILBY ROAD,ALMONDS,UNNAMED,BOWEYA NORTH,18/12/2014 09:15:17,23/12/2014 09:31:07,23/12/2014 09:46:06,23/12/2014 09:31:07,WHOLE
2251,ERC026456,18109,ERC026456,Police Incident,inactive,Police have closed the road in both directions.Detour is via Nepean Hwy.Drivers should allow extra time if travelling in the area.,Road Closed,2600,MORNINGTON PENINSULA FREEWAY,forward,PENINSULA LINK FREEWAY,M11,FW,MORNINGTON PENINSULA,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,970,0,NorthEast,,DROMANA,160D5,95B7,NEPEAN HIGHWAY,DROMANA,NEPEAN-PENINSULA LINK OUT RAMP ON,DROMANA,23/04/2015 21:13:14,24/04/2015 04:17:52,24/04/2015 04:17:45,24/04/2015 04:17:51,MIDPOINT
2252,ERC027000,18237,ERC027000,Emergency Works,inactive,Contraflow in place between Princes Highway East and Alma Rd for water works. Speed limit reduced to 40km/h. Works expected to be completed by 12:30am. ,Traffic Alert,,,forward,KOOYONG ROAD,,MU,"STONNINGTON, GLEN EIRA",METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),64,"605, 980",0,South,,ARMADALE,58K9,79B7,PRINCES HIGHWAY,ARMADALE,ALMA ROAD,CAULFIELD NORTH,18/05/2015 07:03:23,19/05/2015 05:02:50,19/05/2015 05:17:47,19/05/2015 05:02:50,MIDPOINT
2253,ERC022011,14659,ERC022011,Emergency Works,inactive,All lanes now open southbound between Burwood Highway and High Street after earlier power works. ,Traffic Alert,5422,CROYDON-SCORESBY ROAD,forward,SCORESBY ROAD,,AO,KNOX,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"732, 737, 745, 968, 753, 755",0,South,,BAYSWATER,73D1,79F7,HIGH STREET,BAYSWATER,BURWOOD HIGHWAY,FERNTREE GULLY,24/09/2014 12:13:03,24/09/2014 16:45:19,24/09/2014 17:00:19,24/09/2014 16:45:30,MIDPOINT
2254,ERC022008,14339,ERC022008,Emergency Works,inactive,All lanes now open between Edgars Road and Curzon Street after earlier power works. ,Traffic Alert,5910,CAMPBELLFIELD-GREENSBOROUGH ROAD,forward,MAHONEYS ROAD,,AO,"WHITTLESEA, DAREBIN",METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,902,0,West,,RESERVOIR,8F11,79B5,EDGARS ROAD,RESERVOIR,CURZON STREET,RESERVOIR,24/09/2014 10:53:42,24/09/2014 13:04:17,24/09/2014 13:19:10,24/09/2014 13:04:28,MIDPOINT
2256,ERC022642,14197,ERC022642,Police Incident,inactive,Road now open between Metung Road and Nungurner Road after an earlier police incident. ,Road Closed,2510,PRINCES HIGHWAY EAST,forward,PRINCES HIGHWAY,A1,AH,EAST GIPPSLAND,EASTERN,GIPPSLAND (EAST),,,0,West,,SWAN REACH,,84F7,METUNG ROAD,SWAN REACH,NUNGURNER ROAD,KALIMNA WEST,23/10/2014 14:46:31,23/10/2014 17:56:58,23/10/2014 18:26:30,23/10/2014 17:56:58,MIDPOINT
2257,ERC023773,15966,ERC023773,Emergency Works,inactive,All lanes open between Kroroit Creek Road and Ajax Road after earlier water works. ,Traffic Alert,5451,MAIDSTONE STREET,forward,MAIDSTONE STREET,,AO,HOBSONS BAY,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,,0,South,,ALTONA,54C7,78E7,KOROROIT CREEK ROAD,ALTONA,AJAX ROAD,ALTONA,11/12/2014 07:36:35,11/12/2014 17:26:45,11/12/2014 17:41:19,11/12/2014 17:26:44,MIDPOINT
2258,ERC023992,15774,ERC023992,Fire,inactive,Road closed between Stewarton Road and Midland Highway due to fires in the area. Drivers are advised to avoid the area. ,Road Closed,,,forward,BALLINTINE ROAD,,MU,BENALLA,NORTH EASTERN,HUME (NORTH EAST),,,0,North,,STEWARTON,,33F8,STEWARTON ROAD,STEWARTON,MIDLAND HIGHWAY,STEWARTON,18/12/2014 13:59:32,23/12/2014 08:58:16,23/12/2014 09:13:15,23/12/2014 08:58:16,MIDPOINT
